subproduct name,ecoinvent activity,location,process
0.175 btb quad row rec nail w/plating,,,
0.175btb quadrowg2 recterm w/plating,,,
105454 thrice insert mold,,,
105455 shell after planting,,,
body es-0139,,,
bonding wire - cu,,,
bonding wire - cupd,,,
bonding wire - cupdau,,,
"bsc shield, adapter,green",,,
cam pin,,,
"copper lead-frame, pre-plated",,,
"copper lead-frame, pre-plated ag",,,
"copper lead-frame, pre-plated nipdau",,,
detect pin,,,
die encapsulant,,,
epoxy adhesive,,,
"female contact,es-0102",,,
flat flange eyelet,,,
heart cam,,,
insert mold,,,
insulator,,,
kapton od3.5mm (no pet),,,
label w/shield laser warning(1061700404),,,
lcp (gf+md)25 black,,,
lcp md25 black,,,
lubricant,,,
main shell plating,,,
microsd card normal type assy 8ckt,,,
mmcx plug str pcb,,,
mounting plate,,,
over mold with lim,,,
post-plating - lead free,,,
sc adapter dust cap gray,,,
"sc adapter shell f/shield, green",,,
sc adapter shell green,,,
"sc adapter shell,wide flange,green",,,
semiconductor die,,,
shell,,,
"solder ball - sac, lead free (ag > 1.5%)",,,
"solder ball - sac, lead free (ag ≤  1.5%)",,,
"split sleeve, ceramic fc/sc",,,
spring,,,
spring lever blue,,,
"spring lever,black",,,
substrate,,,
"substrate, pre-plated niau",,,
thrice i/m,,,
torsion spring,,,
type c usb inner shell after cleaning,,,
whiteness blank label 34x67mm,,,
